name,rank,category
Thibault Mareschal,1,advanced
Louis Mareschal,1,advanced
Gauthier Vandamme,2,advanced
Gilles Hublet,2,advanced
Olivier Hui Bon Hoa,3,advanced
Jari Verbeek,3,advanced
Tomer Kedar,4,advanced
Rens Elbertsen,4,advanced
Basile Vitrai,5,advanced
Ulysse Couturier,5,advanced
Yuan Tjiam,6,advanced
Simon Spengler,6,advanced
Mark de Jong,7,advanced
Jarec Schouten,7,advanced
Florian Engelsing,8,advanced
Noah Mensch,8,advanced
Stijn Bakker,9,advanced
Micha Daling,9,advanced
Sander Breman,10,advanced
David Teel,10,advanced
Niels de Jonge,11,advanced
Daniel Peereboom,11,advanced
Irian Baert,12,advanced
Toan Pauwels,12,advanced
Gabriele Brazzo,13,advanced
Mathias Gerstner,13,advanced
Jonas Klimt,14,advanced
Ludwig Branzk,14,advanced
Simen Bootsma,15,advanced
Tjebbe Treub,15,advanced
Jacob Franssen,16,advanced
Luc Young,16,advanced
Stijn Slebos,17,advanced
Anicea Saliba,17,advanced
Tessel van Manen,18,advanced
Stan van Manen,18,advanced
Roos van der Wielen,1,intermediate
Mady Smit,1,intermediate
Quinten van Duin,2,intermediate
Niels van Weerdenburg,2,intermediate
Bart Derks,3,intermediate
Tom Ottenheim,3,intermediate
Agnes Berveling,4,intermediate
Sam Beard,4,intermediate
Konstantin Dimov,5,intermediate
Sven Gerritsen,5,intermediate
Lauri Schippers,6,intermediate
Jannah Sonnenschein,6,intermediate
Linde Van Wambeke,7,intermediate
Sanne Schra,7,intermediate
Haiko Rijkers,8,intermediate
Marjolein Veldman,8,intermediate
Maikel Schils,9,intermediate
Carel Van Goch,9,intermediate
Melanie Haeusel,10,intermediate
Thibaut Weller,10,intermediate
Luuk vd Klein,11,intermediate
Pippa Schippers,11,intermediate
Raphaël Wiedmer,12,intermediate
Rebecca Fagerland,12,intermediate
Lars Jürgensen,13,intermediate
Jess Moore,13,intermediate
Jasper Voerman,14,intermediate
Rianne Voerman,14,intermediate
Sanne Hogesteeger,15,intermediate
Tale Lechtenbörger,15,intermediate
Klāvs Kalvenieks,16,intermediate
Rémi Bummel,16,intermediate
Klemen Peganc,17,intermediate
Nikola Geršanov,17,intermediate
Mata Njunga,18,intermediate
Daan Appels,18,intermediate
Bram Slemmer,19,intermediate
Jary Kooijman,19,intermediate
Lech Bakhuizen V.d. Brink,20,intermediate
Maud Wieland,20,intermediate
juho viljanen,21,intermediate
Mátyás Papp,21,intermediate
Michael Wekking,22,intermediate
Wiebe De Gruijter,22,intermediate
Arabi Alhumsi,23,intermediate
Alexis Carras,23,intermediate
Clemence Joly,24,intermediate
Marko Krunic,24,intermediate
