name,rank,category
Aleksandrs Juška,1,advanced
Jarec Schouten,1,advanced
Dirk van de Riet,2,advanced
Micha Daling,2,advanced
Adnan Jerbi,3,advanced
Stan van Manen,3,advanced
Tim Teunis,4,advanced
Stijn Slebos,4,advanced
Nicolas Manneback,5,advanced
Yuan Tjiam,5,advanced
Rens Elbertsen,6,advanced
Tomer Kedar,6,advanced
Simen Bootsma,7,advanced
Jacob Franssen,7,advanced
Cameron Ohlson,8,advanced
Koen Huits,8,advanced
Lars Bouma,9,advanced
Linde Van Wambeke,9,advanced
Yorik Maatman,10,advanced
Sophie Bouma,10,advanced
Daniel Peereboom,11,advanced
Bart Haddink,11,advanced
Adéla Janků,12,advanced
Sam Beard,12,advanced
Mady Smit,13,advanced
Ilonka Thielen,13,advanced
Florian Verduijn,14,advanced
Oscar Stolk,14,advanced
Quinten van Duin,15,advanced
Niels van Weerdenburg,15,advanced
Aart Jan Lenstra,16,advanced
Frank Buigel,16,advanced
Franka Etzel,17,advanced
Lorenz Theobald,17,advanced
Matthijs G,18,advanced
Bauke van der Kooij,18,advanced
Marian Haydn,19,advanced
Lavinia Damaschin,19,advanced
