name,rank,category
Aleksandrs Juška,1,advanced
Jarec Schouten,1,advanced
Luca Marrer,2,advanced
Teo Kukuljan,2,advanced
Rudo Brus,3,advanced
Jeroen Brus,3,advanced
Stan van Manen,4,advanced
Ward Nieboer,4,advanced
Tim Teunis,5,advanced
Stijn Slebos,5,advanced
Joep Blanksma,6,advanced
Simon Spengler,6,advanced
Tomer Kedar,7,advanced
Rens Elbertsen,7,advanced
Basile Vitrai,8,advanced
Eline Meijer,8,advanced
Yuan Tjiam,9,advanced
Nicolas Manneback,9,advanced
Daniel Peereboom,10,advanced
Niels de Jonge,10,advanced
Jasper toebes,11,advanced
Roos van der Donk,11,advanced
Ewout van den Pol,12,advanced
Cedric Omtzigt,12,advanced
Sam Beard,13,advanced
Omar el Tambouli,13,advanced
Niels Kadijk,14,advanced
Tjebbe Treub,14,advanced
Tom Caniels,15,advanced
Konradin Müskens,15,advanced
Agnes Berveling,16,advanced
Lauri Schippers,16,advanced
Teo Constantinescu,17,advanced
Miguel Dionisio,17,advanced
