name,rank,category
Ravi Kandula,1,advanced
Mark de Jong,1,advanced
Jarec Schouten,2,advanced
Aleksandrs Juška,2,advanced
Patrick de Lange,3,advanced
Stan van Manen,3,advanced
Niels de Jonge,4,advanced
Dirk van de Riet,4,advanced
Stijn Slebos,5,advanced
Tim Teunis,5,advanced
jasper toebes,6,advanced
Rudo Brus,6,advanced
Joep Blanksma,7,advanced
Ewout van den Pol,7,advanced
Maarten Van Beek,8,advanced
Micha Daling,8,advanced
Ben ten Berge,9,advanced
Pieter van der Plas,9,advanced
Simen Bootsma,10,advanced
Tjebbe Treub,10,advanced
Martin Sievert,11,advanced
Ludwig Branzk,11,advanced
Nicolas Manneback,12,advanced
Yuan Tjiam,12,advanced
Tomer Kedar,13,advanced
Daniel Horn,13,advanced
Frank Buigel,14,advanced
Koen Huits,14,advanced
Cedric Omtzigt,15,advanced
Jacob Franssen,15,advanced
Remco Klaasman,16,advanced
Rens Elbertsen,16,advanced
Daniel Peereboom,17,advanced
Yorik Maatman,17,advanced
Stijn Bakker,18,advanced
Mady Smit,18,advanced
Niels Kadijk,19,advanced
Luc Young,19,advanced
Sander Breman,1,intermediate
David Teel,1,intermediate
Wouter Van Tongeren,2,intermediate
Arthur Boerman,2,intermediate
Geert Douwe de Vries,3,intermediate
Florian Verduijn,3,intermediate
Koen Zonneveld,4,intermediate
Twan Zonneveld,4,intermediate
Remon Poelman,5,intermediate
Job van Maastricht,5,intermediate
Lukas Schubotz,6,intermediate
Thijs Benschop,6,intermediate
Bram Houweling,7,intermediate
Sjef Holl,7,intermediate
Niels van de Graaf,8,intermediate
Ivo Wester,8,intermediate
Jannah Sonnenschein,9,intermediate
Adnan Jerbi,9,intermediate
Jan Albert van der Velde,10,intermediate
Daan Beelen,10,intermediate
Ieke Berens,11,intermediate
Thieri Balk,11,intermediate
Luuk Nugteren,12,intermediate
Thijmen Calis,12,intermediate
Tymo Berger,13,intermediate
Roel Teillers,13,intermediate
Ewout Buurma,14,intermediate
Meint-Jan Elzinga,14,intermediate
Casper Zomerdijk,15,intermediate
Nicole IJff,15,intermediate
Gijs van Gerwen,16,intermediate
Tom Caniels,16,intermediate
Magali de Rooy,17,intermediate
Mattis Hennig,17,intermediate
Joep van den Heuvel,18,intermediate
Joost van Vugt,18,intermediate
Huub Capelleveen,19,intermediate
Tom van den Heuvel,19,intermediate
Quinten van Duin,1,beginner
Niels van Weerdenburg,1,beginner
Tim de Goede,2,beginner
Maikel Tuit,2,beginner
Kevin Focke,3,beginner
Steven biemans,3,beginner
Ricardo Brouwer,4,beginner
Arjen Poulie,4,beginner
Jary Kooijman,5,beginner
Rianne Voerman,5,beginner
fabio groen,6,beginner
Riccardo Minelli,6,beginner
Rafael Nierse,7,beginner
Hannes Holl,7,beginner
Wim Verschuren,8,beginner
Bo Zonneveld,8,beginner
Eline Meijer,1,women
Sophie Bouma,1,women
Tessel van Manen,2,women
Lauma Ernestsone,2,women
Ilonka Thielen,3,women
Roos van der Donk,3,women
Roos van der Wielen,4,women
Lauri Schippers,4,women
Jessica Borgers,5,women
Annabel Beiner,5,women
Merel Buijs,6,women
Sophia Walser,6,women
Agnes Berveling,7,women
Lise Pieper,7,women
Annelies van Cooten,8,women
Anna Strijker,8,women
Merel Peletier,9,women
Juliëtte Peletier,9,women
Michelle Sudjito,10,women
Britt Engel,10,women
Anneke Poelen,11,women
Dorette Kouwenhoven,11,women
Emma Boom,12,women
Roos Denisse,12,women
