name,rank,category
Aleksandrs Juška,1,advanced
Jarec Schouten,1,advanced
Justus Klapperich,2,advanced
Nele Benecke,2,advanced
Lauma Ernestsone,3,advanced
Sander Breman,3,advanced
Sam Beard,4,advanced
Koen Franken,4,advanced
Rens Elbertsen,5,advanced
Ward Nieboer,5,advanced
Nate Von Der Sitt,6,advanced
Lauri Schippers,6,advanced
Daniel Peereboom,7,advanced
Lars Bouma,7,advanced
Marcel Michael,8,advanced
Jan Schmitz,8,advanced
Bart Derks,9,advanced
Simen Bootsma,9,advanced
Solange Schrijnder Van Velzen,10,advanced
Mady Smit,10,advanced
Tjebbe Treub,11,advanced
Carel Van Goch,11,advanced
Jacob Franssen,12,advanced
Stan Van Der Enden,12,advanced
Sanne Schra,13,advanced
Jannah Sonnenschein,13,advanced
Teodor Constantinescu,14,advanced
Miguel Dionisio,14,advanced
