name,rank,category
Jarec Schouten,1,advanced
Aleksandrs Juška,1,advanced
Joeri Vlassaks,2,advanced
Martijn Paes,2,advanced
Micha Daling,3,advanced
Dirk van de Riet,3,advanced
Thomas Turner,4,advanced
Jonas Adriaenssens,4,advanced
Dante Vanderveken,5,advanced
Adriaan Van Gerven,5,advanced
Jessica Borgers,6,advanced
Thibault Mareschal,6,advanced
Baptiste Maison,7,advanced
Hugues Maison,7,advanced
Britt Vankemenade,8,advanced
Marie-Alexia Teisseyre,8,advanced
Rens Elbertsen,9,advanced
Tomer Kedar,9,advanced
Rudo Brus,10,advanced
Jasper Toebes,10,advanced
Stijn Slebos,11,advanced
Tim Teunis,11,advanced
Nicolas Manneback,12,advanced
Yuan Tjiam,12,advanced
Koen Huits,13,advanced
Cameron Ohlson,13,advanced
Oscar Stolk,14,advanced
Twan Schoonen,14,advanced
Casper Zomerdijk,15,advanced
Maarten Van Beek,15,advanced
Agnes Berveling,16,advanced
Omar el Tambouli,16,advanced
Lieze Dockx,17,advanced
Pieter-Jan Zwaan,17,advanced
Gijs van Gerwen,18,advanced
Konradin Müskens,18,advanced
Quinten van Duin,19,advanced
Singrid Feitosa Alexandrino,19,advanced
Lauri Schippers,20,advanced
Tessel van Manen,20,advanced
Remy Rousselle,21,advanced
Antoine Sapena,21,advanced
Rianne Voerman,22,advanced
Niels van Weerdenburg,22,advanced
Carel Van Goch,23,advanced
steven biemans,23,advanced
Annabel Beiner,24,advanced
Linde Van Wambeke,24,advanced
Vishesh Sawhney,25,advanced
Nicole IJff,25,advanced
J van Wijhe,26,advanced
Matthew Elworthy,26,advanced
Iris Bunnig,27,advanced
Leonoor Schiphorst,27,advanced
Nadja van Kessel,28,advanced
Emiel Prikkel,28,advanced
