name,rank,category
Sander Breman,1,advanced
Jarec Schouten,1,advanced
Sam Beard,2,advanced
Florian Engelsing,2,advanced
Stan Van Manen,3,advanced
Thibault Mareschal,3,advanced
Stan Van Der Enden,4,advanced
Lars Bouma,4,advanced
Rudo Brus,5,advanced
Rens Elbertsen,5,advanced
Klara Schöttgen,6,advanced
Ward Nieboer,6,advanced
Noah Caneel,7,advanced
Koen Franken,7,advanced
Yuan Tjiam,8,advanced
Gimley De Graaf,8,advanced
Roos Van Der Wielen,1,intermediate
Britt Engel,1,intermediate
Knut Satrang,2,intermediate
Steffen Gastineau,2,intermediate
Jannah Sonnenschein,3,intermediate
Lauri Schippers,3,intermediate
Joep Schotsman,4,intermediate
Luuk Schotsman,4,intermediate
Wouter Van Der Heijden,5,intermediate
Gijs Kamperman,5,intermediate
Benedikt Meylahn,6,intermediate
Lars Jürgensen,6,intermediate
Agnes Berveling,7,intermediate
Sanne Schra,7,intermediate
Martijn Taminiau,8,intermediate
Vishesh Sawhney,8,intermediate
Pippa Schippers,9,intermediate
Suzanne Slob,9,intermediate
Anna Junk,10,intermediate
Melanie Haeusel,10,intermediate
David Van Beijnhem,11,intermediate
Jelmer Luijt,11,intermediate
