name,rank,category
Tomer Kedar,1,advanced
Sam Beard,1,advanced
Patrick Friebe,2,advanced
Noah Rashid,2,advanced
Bart Derks,3,advanced
Rudo Brus,3,advanced
Lars Bouma,4,advanced
Daniel Peereboom,4,advanced
Koen Franken,5,advanced
Florian Engelsing,5,advanced
Roos Van Der Donk,6,advanced
Roos Van Der Wielen,6,advanced
Alberto Tiribello,7,advanced
Michele Berlanda,7,advanced
Dirk Van De Riet,8,advanced
Ward Nieboer,8,advanced
Jonas Klimt,9,advanced
Stijn Slebos,9,advanced
Sander Breman,10,advanced
David Teel,10,advanced
Sanne Schra,11,advanced
Marcel Michael,11,advanced
Konradin Müskens,12,advanced
Niels Kadijk,12,advanced
Mady Smit,13,advanced
Klara Schöttgen,13,advanced
Jannah Sonnenschein,14,advanced
Suzanne Slob,14,advanced
Carel Van Goch,15,advanced
Omar El Tambouli,15,advanced
Gijs Kamperman,16,advanced
Wouter Van Der Heijden,16,advanced
Timo Lochtenberg,17,advanced
Britt Engel,17,advanced
Gijs Cornielje,18,advanced
Max Van Der Heijden,18,advanced
