Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Aleksandrs Juška,1,3800,NK 2024-06-29 - Place: 1 Points: 1585.5,Enschede 2024-04-06 - Place: 1 Points: 1159.2,Groningen 2024-02-11 - Place: 1 Points: 1055.6
Lauma Ernestsone,2,3617,NK 2024-06-29 - Place: 1 Points: 1585.5,Enschede 2025-06-01 - Place: 2 Points: 1102.5,EnschedeIndoor 2024-11-30 - Place: 2 Points: 929.25
Jarec Schouten,3,3520,NK 2024-06-29 - Place: 3 Points: 1268.4,Enschede 2024-04-06 - Place: 1 Points: 1159.2,Amsterdam 2025-06-14 - Place: 1 Points: 1092.0
Rudo Brus,4,3499,NK 2024-06-29 - Place: 2 Points: 1426.95,Amsterdam 2025-06-14 - Place: 1 Points: 1092.0,Enschede 2025-06-01 - Place: 3 Points: 980.0
Stan van Manen,5,3157,NK 2024-06-29 - Place: 3 Points: 1268.4,Groningen 2024-05-04 - Place: 1 Points: 1044.4,Groningen 2024-02-11 - Place: 3 Points: 844.48
Jeroen Brus,6,2988,NK 2024-06-29 - Place: 2 Points: 1426.95,Enschede 2024-04-06 - Place: 3 Points: 927.36,Amsterdam 2023-06-17 - Place: 6 Points: 633.78
Tomer Kedar,7,2983,Enschede 2025-06-01 - Place: 2 Points: 1102.5,NK 2024-06-29 - Place: 6 Points: 951.3,EnschedeIndoor 2024-11-30 - Place: 2 Points: 929.25
Dirk van de Riet,8,2841,NK 2024-06-29 - Place: 5 Points: 951.3,Groningen 2024-02-11 - Place: 2 Points: 950.04,Groningen 2024-05-04 - Place: 2 Points: 939.96
Micha Daling,9,2723,Groningen 2024-02-11 - Place: 2 Points: 950.04,Groningen 2024-05-04 - Place: 2 Points: 939.96,Amsterdam 2024-01-20 - Place: 3 Points: 833.28
Simon Spengler,10,2691,Groningen 2024-05-04 - Place: 1 Points: 1044.4,NK 2024-06-29 - Place: 5 Points: 951.3,Enschede 2024-04-06 - Place: 6 Points: 695.52
Tim Teunis,11,2675,NK 2024-06-29 - Place: 4 Points: 1109.85,EnschedeIndoor 2024-11-30 - Place: 3 Points: 826.0,Groningen 2024-02-11 - Place: 4 Points: 738.92
Ravi Kandula,12,2635,Amsterdam 2023-06-17 - Place: 1 Points: 1056.3,NK 2023-09-02 - Place: 1 Points: 896.7,Enschede 2023-11-26 - Place: 2 Points: 682.29
Ward Nieboer,13,2440,Groningen 2024-05-04 - Place: 3 Points: 835.52,Enschede 2024-04-06 - Place: 4 Points: 811.44,NK 2024-06-29 - Place: 8 Points: 792.75
Sam Beard,14,2430,Amsterdam 2025-06-14 - Place: 3 Points: 873.6,UtrechtIndoor 2025-03-15 - Place: 1 Points: 826.0,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 730.8
Luc Young,15,2368,Groningen 2025-05-03 - Place: 2 Points: 815.85,GroningenIndoor 2025-01-19 - Place: 1 Points: 808.5,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4
Florian Engelsing,16,2327,Amsterdam 2025-06-14 - Place: 3 Points: 873.6,AmsterdamIndoor 2025-02-23 - Place: 2 Points: 730.8,EnschedeIndoor 2024-11-30 - Place: 4 Points: 722.75
Rens Elbertsen,17,2320,NK 2024-06-29 - Place: 6 Points: 951.3,Amsterdam 2024-06-01 - Place: 4 Points: 735.0,Groningen 2024-02-11 - Place: 6 Points: 633.36
Stijn Slebos,18,2263,NK 2024-06-29 - Place: 8 Points: 792.75,Groningen 2024-02-11 - Place: 4 Points: 738.92,Groningen 2024-05-04 - Place: 4 Points: 731.08
Joep Blanksma,19,2254,NK 2024-06-29 - Place: 4 Points: 1109.85,Enschede 2024-04-06 - Place: 6 Points: 695.52,NK 2023-09-02 - Place: 7 Points: 448.35
Simen Bootsma,20,2193,Groningen 2025-05-03 - Place: 2 Points: 815.85,UtrechtIndoor 2025-03-15 - Place: 2 Points: 743.4,NK 2024-06-29 - Place: 12 Points: 634.2
Tjebbe Treub,21,2188,EnschedeIndoor 2024-11-30 - Place: 3 Points: 826.0,GroningenIndoor 2025-01-19 - Place: 2 Points: 727.65,Groningen 2025-05-03 - Place: 4 Points: 634.55
Thibault Mareschal,22,2097,Amsterdam 2024-06-01 - Place: 1 Points: 1050.0,Amsterdam 2024-01-20 - Place: 6 Points: 624.96,Amsterdam 2023-06-17 - Place: 9 Points: 422.52
Gabriele Brazzo,23,2040,Amsterdam 2025-06-14 - Place: 2 Points: 982.8,NK 2024-06-29 - Place: 11 Points: 634.2,Amsterdam 2023-06-17 - Place: 12 Points: 422.52
Bart Derks,24,2038,GroningenIndoor 2025-01-19 - Place: 1 Points: 808.5,UtrechtIndoor 2025-03-15 - Place: 3 Points: 660.8,AmsterdamIndoor 2025-02-23 - Place: 4 Points: 568.4
Sander Breman,25,1985,Amsterdam 2025-06-14 - Place: 4 Points: 764.4,Groningen 2025-05-03 - Place: 3 Points: 725.2,UtrechtIndoor 2025-03-15 - Place: 5 Points: 495.6
David Teel,26,1965,Amsterdam 2025-06-14 - Place: 4 Points: 764.4,Groningen 2025-05-03 - Place: 3 Points: 725.2,NK 2024-06-29 - Place: 15 Points: 475.65
Mark de Jong,27,1950,NK 2023-09-02 - Place: 1 Points: 896.7,Amsterdam 2023-06-17 - Place: 7 Points: 528.15,Amsterdam 2024-06-01 - Place: 7 Points: 525.0
Jasper Toebes,28,1908,Groningen 2025-05-03 - Place: 1 Points: 906.5,NK 2023-09-02 - Place: 6 Points: 538.02,Enschede 2024-04-06 - Place: 11 Points: 463.68
Mady Smit,29,1906,Enschede 2025-06-01 - Place: 6 Points: 735.0,Amsterdam 2025-06-14 - Place: 6 Points: 655.2,EnschedeIndoor 2024-11-30 - Place: 7 Points: 516.25
Yuan Tjiam,30,1898,NK 2024-06-29 - Place: 10 Points: 634.2,Groningen 2024-02-11 - Place: 5 Points: 633.36,Amsterdam 2024-06-01 - Place: 6 Points: 630.0
Jari Verbeek,31,1897,Amsterdam 2024-06-01 - Place: 3 Points: 840.0,NK 2024-06-29 - Place: 11 Points: 634.2,Amsterdam 2023-06-17 - Place: 12 Points: 422.52
Niels de Jonge,32,1820,NK 2023-09-02 - Place: 4 Points: 627.69,Groningen 2024-05-04 - Place: 6 Points: 626.64,GroningenIndoor 2025-01-19 - Place: 4 Points: 565.95
Nicolas Manneback,33,1731,NK 2024-06-29 - Place: 10 Points: 634.2,Groningen 2024-02-11 - Place: 5 Points: 633.36,Enschede 2024-04-06 - Place: 9 Points: 463.68
Daniel Peereboom,34,1683,Groningen 2024-05-04 - Place: 6 Points: 626.64,GroningenIndoor 2025-01-19 - Place: 4 Points: 565.95,Enschede 2025-06-01 - Place: 10 Points: 490.0
Koen Franken,35,1587,GroningenIndoor 2025-01-19 - Place: 3 Points: 646.8,AmsterdamIndoor 2025-02-23 - Place: 6 Points: 487.2,Groningen 2025-05-03 - Place: 8 Points: 453.25
Eline Meijer,36,1584,NK 2024-06-29 - Place: 7 Points: 792.75,Enschede 2024-04-06 - Place: 8 Points: 579.6,Amsterdam 2023-06-17 - Place: 22 Points: 211.26
Lars Bouma,37,1558,Amsterdam 2025-06-14 - Place: 7 Points: 546.0,Groningen 2024-05-04 - Place: 8 Points: 522.2,Enschede 2025-06-01 - Place: 10 Points: 490.0
Patrick de Lange,38,1551,NK 2023-09-02 - Place: 3 Points: 717.36,Amsterdam 2023-06-17 - Place: 9 Points: 422.52,Groningen 2023-05-27 - Place: 1 Points: 411.6
Steffen Gastineau,39,1544,EnschedeIndoor 2024-11-30 - Place: 6 Points: 619.5,AmsterdamIndoor 2025-02-23 - Place: 5 Points: 487.2,Amsterdam 2025-06-14 - Place: 12 Points: 436.8
Sophie Bouma,40,1528,NK 2024-06-29 - Place: 7 Points: 792.75,Groningen 2024-02-11 - Place: 10 Points: 422.24,Groningen 2024-05-04 - Place: 13 Points: 313.32
Lauri Schippers,41,1525,Groningen 2025-05-03 - Place: 5 Points: 543.9,UtrechtIndoor 2025-03-15 - Place: 5 Points: 495.6,GroningenIndoor 2025-01-19 - Place: 5 Points: 485.1
Niels Kadijk,42,1515,UtrechtIndoor 2025-03-15 - Place: 3 Points: 660.8,NK 2024-06-29 - Place: 16 Points: 475.65,Enschede 2023-11-26 - Place: 7 Points: 379.05
Jacob Franssen,43,1499,Groningen 2024-02-11 - Place: 7 Points: 527.8,UtrechtIndoor 2025-03-15 - Place: 6 Points: 495.6,NK 2024-06-29 - Place: 16 Points: 475.65
Omar el Tambouli,44,1486,UtrechtIndoor 2025-03-15 - Place: 1 Points: 826.0,Enschede 2024-04-06 - Place: 13 Points: 347.76,Amsterdam 2024-01-20 - Place: 16 Points: 312.48
Carel van Goch,45,1478,GroningenIndoor 2025-01-19 - Place: 3 Points: 646.8,Groningen 2024-05-04 - Place: 11 Points: 417.76,UtrechtIndoor 2025-03-15 - Place: 7 Points: 413.0
Roos van der Donk,46,1433,EnschedeIndoor 2024-11-30 - Place: 7 Points: 516.25,Enschede 2024-04-06 - Place: 11 Points: 463.68,Groningen 2025-05-03 - Place: 7 Points: 453.25
Fabian van Hummel,47,1396,Groningen 2025-05-03 - Place: 1 Points: 906.5,Enschede 2025-06-01 - Place: 11 Points: 490.0,
Cameron Ohlson,48,1384,Groningen 2025-05-03 - Place: 6 Points: 543.9,Groningen 2024-02-11 - Place: 8 Points: 527.8,Amsterdam 2024-01-20 - Place: 13 Points: 312.48
Agnes Berveling,49,1353,AmsterdamIndoor 2025-02-23 - Place: 6 Points: 487.2,Groningen 2025-05-03 - Place: 8 Points: 453.25,EnschedeIndoor 2024-11-30 - Place: 10 Points: 413.0
Adnan Jerbi,50,1320,Groningen 2024-02-11 - Place: 3 Points: 844.48,NK 2024-06-29 - Place: 14 Points: 475.65,
